date,desc,wt,arm,moment,wca,aircraft_id
21/01/2011,Carried forward from end of previous EW Record,41054.7,660.8293082,27130149,A760517,1
8/07/2011,Previous EW record with adjustment for validated PB BW items,41038.9,660.8919342,27122278,A760517,1
30/04/2012,Refer Aircraft Weigh Report PBA04/12,41218.3,660.3,27214658,A760517,1
23/10/2012,Refer Previous EW record,41308.4,660.3245103,27276949,A760517,1
21/01/2011,Carried forward from end of previous EW Record,41101,660.4665823,27145837,A760517,2
8/07/2011,Carried forward from end of previous EW Record,41085.2,660.5289983,27137966,A760517,2
15/05/2012,Refer Reweigh Report PBB05/15,41192.452,660.7138712,27216424.43,A760517,2
23/10/2012,Refer Previous EW record,41282.552,660.780744,27278715.43,A760517,2
29/01/2014,Refer Previous EW record,41375.5,660.25,27318132,A605787,2
21/01/2011,Carried forward from end of previous EW Record,41207.9,661.9814162,27278864,A760517,3
21/01/2011,Carried forward from end of previous EW Record,41192.1,662.0442512,27270993,A760517,3
23/10/2012,Carried forward from end of previous EW Record,41347.08,661.7259848,27360437.23,A760517,3
29/01/2014,Refer Previous EW record,41439.2,661.2,27399803,A605787,3
23/02/2014,Record Updated following Reweigh,41541.282,660.8072148,27450778.86,A605787,3
21/01/2011,Carried forward from end of previous EW Record,41182.9,661.5383812,27244069,A760517,4
8/07/2011,Previous EW record with adjustment for validated PB BW items,41167.1,661.6010844,27236198,A760517,4
3/02/2012,PBF02/12 Weigh Report,41271.87,661.6,27307533,A760517,4
14/02/2012,Updated due cabin refurb following aircraft paint and weigh,41426.9,661.33,27396977,A760517,4
29/01/2014,Refer Previous EW record,41519.1,660.81,27436342,A605787,4
21/01/2011,Carried forward from end of previous EW Record,41278.5,663.7733203,27399567,A760517,5
8/07/2011,Previous EW record with adjustment for validated PB EW items,41262.7,663.8367339,27391696,A760517,5
23/10/2012,Carried forward from end of previous EW record,41417.68,663.5123027,27481140.23,A760517,5
29/01/2014,Refer Previous EW record,41509.8,662.99,27520506,A605787,5
9/03/2014,Refer weigh report PBG03/14,41477.5,660.8,27408005,A760517,5
21/01/2011,Carried forward from end of previous EW Record,41367.9,662.0767068,27388723,A760517,6
8/07/2011,Previous EW record with adjustment to validated PB BW items,41352.1,662.1393351,27380852,A760517,6
22/10/2012,Carried forward from end of previous EW record,41513.88,661.7417074,27471465.83,A760517,6
11/10/2013,Carried forward from Weigh Report PBI10/13,41513.3,660.4,27416277.2,A605787,6
29/01/2014,Refer Previous EW record,41560.3,660.25,27440275,A605787,6
21/01/2011,Carried forward from end of previous EW Record,41128.6,662.4153022,27244214,A760517,7
8/07/2011,Previous EW record with adjustment for validated PB BW items,41112.8,662.4784252,27236343,A760517,7
2/04/2012,Refer aircraft weigh report PBJ04/12,41514.664,660.7896886,27432461.9,A760517,7
29/01/2014,Refer Previous EW record,41607.6,660.26,27471869,A605787,7
21/01/2011,Carried forward from end of previous EW Record,41391.4,661.9608179,27399485,A760517,8
4/06/2011,From Reweigh Report PBK 06/11,41459.8,661.1588334,27411513,A760517,8
23/10/2012,Carried forward from end of previous reweigh record,41621.78,660.7636682,27502160.03,A760517,8
29/01/2014,Refer Previous EW record,41713.9,660.25,27541525,A605787,8
21/01/2011,Carried forward from end of previous EW Record,41321.7,661.3497267,27328095,A760517,9
8/07/2011,Previous EW record with adjustment for PB BW items,41305.9,661.4121469,27320224,A760517,9
19/08/2011,Reweigh Report PBL08/11,41357.56,661.3238305,27350740,A760517,9
23/10/2012,Reweigh Report PBL08/11,41512.54,661.0095222,27440184.23,A760517,9
29/01/2014,Refer Previous EW record,41604.7,660.49,27479598,A605787,9
21/01/2011,Carried forward from end of previous EW Record,41253.5,660.63917,27253678,A760517,10
8/07/2011,Previous EW record with adjustment for validated PB BW items,41237.7,660.7014213,27245807,A760517,10
9/03/2012,Carried forward from previous EW record,41392.68,660.3885332,27335251.23,A760517,10
